submission_date,state,tot_cases
6/10/2020,Indiana,38337
3/16/2020,Tennessee,52
1/4/2021,Mississippi,225444
12/9/2020,Oklahoma,228413
1/5/2021,Tennessee,617649
11/24/2020,North Dakota,75478
12/14/2020,Nevada,189412
1/27/2020,Mississippi,0
3/23/2020,Nebraska,52
6/8/2020,Florida,63378
2/23/2020,Iowa,0
3/26/2020,West Virginia,76
7/7/2020,Nebraska,20201
5/7/2020,California,60614
4/22/2020,Connecticut,22469
4/23/2020,New York,117605
3/18/2020,Wyoming,16
4/10/2020,Kentucky,1693
5/8/2020,Idaho,2205
4/18/2020,California,28963
11/25/2020,South Carolina,210905
9/20/2020,Texas,688534
1/24/2020,Pennsylvania,0
7/7/2020,,0
1/5/2021,,3
5/19/2020,Colorado,22399
9/19/2020,,0
4/13/2020,Tennessee,5610
3/9/2020,Florida,19
1/26/2020,South Carolina,0
4/5/2020,,64955
3/27/2020,New Mexico,191
9/5/2020,Virginia,126926
8/25/2020,Michigan,108637
6/13/2020,North Dakota,3058
8/26/2020,,0
1/24/2021,Oklahoma,379173
6/25/2020,Illinois,140434
5/22/2020,Idaho,2595
8/6/2020,Idaho,23399
10/20/2020,Louisiana,179769
3/23/2020,Iowa,105
5/13/2020,Kentucky,7080
10/30/2020,Ohio,212782
12/12/2020,Washington,199735
7/22/2020,,13473
10/11/2020,Mississippi,104932
10/28/2020,,0
6/24/2020,New York,176318
5/1/2020,Colorado,15668
12/29/2020,Arkansas,219246
1/17/2021,Connecticut,223422
1/10/2021,New York,648275
3/12/2020,Pennsylvania,23
1/25/2020,,0
3/5/2020,North Dakota,0
3/29/2020,North Dakota,98
8/11/2020,,0
8/24/2020,Colorado,55341
10/11/2020,Minnesota,113439
12/12/2020,Louisiana,264191
4/27/2020,Washington,13686
2/26/2020,South Carolina,0
11/12/2020,Minnesota,201795
1/12/2021,Ohio,792938
11/30/2020,Idaho,101698
1/15/2021,Oregon,131258
12/13/2020,,62985
1/8/2021,New Mexico,153456
3/4/2020,Texas,0
1/10/2021,Wisconsin,550260
7/1/2020,Ohio,52865
1/4/2021,New York,584715
1/25/2021,Louisiana,385942
11/18/2020,Wisconsin,350665
7/6/2020,Michigan,73269
2/2/2020,Georgia,0
9/21/2020,Michigan,129662
7/18/2020,Arkansas,32533
7/4/2020,Arizona,94553
5/3/2020,Nebraska,5659
7/3/2020,Oklahoma,14217
4/12/2020,Arkansas,1307
11/6/2020,Florida,821526
9/28/2020,New York,213388
2/25/2020,Colorado,0
4/17/2020,California,27528
9/2/2020,,0
3/19/2020,Pennsylvania,185
6/30/2020,Michigan,70728
4/13/2020,New York,88268
8/21/2020,Nevada,64697
12/14/2020,Texas,1482141
4/12/2020,Alabama,3583
9/26/2020,Arkansas,80755
11/30/2020,Texas,1278432
9/14/2020,Indiana,106540
5/3/2020,Iowa,9169
10/21/2020,Ohio,188005
4/22/2020,North Dakota,679
1/20/2021,Louisiana,374582
6/25/2020,Louisiana,53415
3/31/2020,Pennsylvania,4843
10/18/2020,Oregon,39532
6/17/2020,Georgia,59684
5/20/2020,South Carolina,9175
12/22/2020,,3
5/13/2020,Virginia,27813
2/27/2020,Idaho,0
5/8/2020,North Dakota,1425
2/16/2020,South Carolina,0
10/6/2020,Illinois,307750
9/7/2020,Maryland,113239
11/21/2020,,4
8/23/2020,Iowa,56275
9/7/2020,Iowa,70403
12/21/2020,Indiana,468219
2/20/2020,Mississippi,0
9/2/2020,Arizona,202861
4/4/2020,Virginia,2407
6/19/2020,Michigan,67097
10/30/2020,Nebraska,69645
11/17/2020,New Mexico,67559
3/20/2020,,5151
3/12/2020,Mississippi,1
4/11/2020,Tennessee,4863
3/9/2020,North Dakota,0
12/6/2020,Alabama,269877
1/2/2021,Nebraska,168262
11/6/2020,South Carolina,182872
7/2/2020,Alabama,40111
11/2/2020,Arizona,248139
10/15/2020,West Virginia,19082
9/17/2020,Massachusetts,134035
3/11/2020,Ohio,3
3/29/2020,Connecticut,1993
7/4/2020,Nevada,21803
1/24/2020,California,0
12/10/2020,North Dakota,87213
8/27/2020,New York,198991
11/10/2020,Michigan,245252
5/8/2020,Massachusetts,75333
11/5/2020,West Virginia,26547
9/16/2020,Illinois,268246
9/10/2020,Pennsylvania,141877
1/22/2021,Louisiana,380255
5/14/2020,New Mexico,5503
5/23/2020,Maryland,46313
2/12/2020,Pennsylvania,0
5/2/2020,Arkansas,3372
5/19/2020,Iowa,15349
12/27/2020,California,2122806
4/4/2020,Wisconsin,2112
2/14/2020,Iowa,0
10/22/2020,Alabama,177064
7/2/2020,California,240195
9/5/2020,Maryland,112119
6/25/2020,Massachusetts,107837
5/1/2020,Louisiana,28711
7/2/2020,West Virginia,3053
4/25/2020,Illinois,41777
11/21/2020,South Carolina,205018
4/4/2020,Indiana,3953
3/18/2020,Massachusetts,256
10/27/2020,Wyoming,11806
11/28/2020,New Mexico,93982
1/9/2021,Wisconsin,548134
2/24/2020,Iowa,0
3/11/2020,,0
1/4/2021,Wyoming,45247
3/15/2020,,0
11/30/2020,Kentucky,179041
6/11/2020,Oregon,5237
9/4/2020,Illinois,247299
9/24/2020,Kentucky,64158
11/1/2020,Arkansas,113057
6/17/2020,Ohio,42422
3/10/2020,Maryland,9
9/19/2020,Idaho,37247
5/21/2020,,0
11/6/2020,Iowa,144714
9/17/2020,Arkansas,73211
3/22/2020,Kentucky,103
4/20/2020,Nebraska,1648
10/6/2020,Nebraska,48757
6/5/2020,West Virginia,2119
5/3/2020,,0
1/7/2021,Ohio,753068
7/12/2020,Wisconsin,39877
11/18/2020,Arkansas,137617
8/18/2020,Idaho,28326
11/5/2020,Nevada,105360
11/10/2020,West Virginia,29316
3/29/2020,Virginia,1020
3/20/2020,Kentucky,48
5/5/2020,,0
11/6/2020,Wyoming,16405
6/30/2020,Virginia,62787
4/22/2020,Tennessee,7572
10/13/2020,Iowa,100895
9/7/2020,Tennessee,165109
9/26/2020,Indiana,116549
10/23/2020,Connecticut,66052
10/21/2020,Louisiana,181132
7/1/2020,,217378
12/2/2020,Washington,170342
11/21/2020,Florida,918240
11/1/2020,Texas,972330
4/19/2020,Massachusetts,38077
1/28/2020,Pennsylvania,0
8/2/2020,Virginia,93106
2/3/2020,Illinois,2
7/25/2020,Wyoming,2446
11/2/2020,Pennsylvania,211996
12/9/2020,Mississippi,172955
12/31/2020,Massachusetts,369341
2/11/2020,Kentucky,0
8/27/2020,Texas,597737
3/23/2020,Georgia,1077
4/15/2020,Wisconsin,3721
12/1/2020,Maryland,203355
9/9/2020,Indiana,101485
4/4/2020,Idaho,1077
11/27/2020,,4
10/31/2020,Colorado,107350
7/25/2020,New Mexico,18788
2/4/2020,Wyoming,0
3/28/2020,,0
3/26/2020,Indiana,645
1/19/2021,Michigan,587448
6/14/2020,Georgia,56869
6/27/2020,Oklahoma,12367
1/17/2021,Wisconsin,568166
3/16/2020,New York,487
11/20/2020,Oklahoma,175505
10/5/2020,Wyoming,6629
12/27/2020,Iowa,274982
10/23/2020,Minnesota,129863
10/4/2020,Maryland,127791
11/3/2020,Wyoming,14619
11/3/2020,North Dakota,48301
9/13/2020,Iowa,74506
4/15/2020,Massachusetts,29918
8/27/2020,Iowa,61484
9/8/2020,Kentucky,53319
12/24/2020,New Mexico,135166
7/31/2020,North Dakota,6602
3/30/2020,,174
4/3/2020,Michigan,12670
1/12/2021,Pennsylvania,733429
2/11/2020,Nebraska,0
5/30/2020,Massachusetts,96301
6/18/2020,,213145
9/18/2020,Washington,81602
3/4/2020,Mississippi,0
6/15/2020,North Dakota,3101
9/6/2020,,236657
3/7/2020,Nebraska,2
10/10/2020,Tennessee,212649
11/30/2020,West Virginia,47842
12/3/2020,North Dakota,81949
7/16/2020,Ohio,70601
5/7/2020,,0
6/10/2020,California,136191
6/6/2020,Michigan,63983
3/17/2020,Maryland,85
5/11/2020,Mississippi,9908
6/16/2020,Maryland,62969
10/9/2020,Washington,92560
9/7/2020,Wisconsin,86928
9/18/2020,New York,208746
12/11/2020,Florida,1087956
8/26/2020,Texas,592137
3/26/2020,Tennessee,957
4/6/2020,Kentucky,1008
3/11/2020,Texas,23
3/27/2020,South Carolina,539
3/31/2020,,0
12/6/2020,,57622
8/3/2020,New Mexico,21130
10/2/2020,Arkansas,85779
12/16/2020,New Mexico,124357
3/24/2020,Oregon,209
1/23/2020,Washington,1
2/13/2020,Pennsylvania,0
2/14/2020,Idaho,0
3/9/2020,Tennessee,1
4/7/2020,Oregon,1181
10/18/2020,Ohio,181787
1/22/2020,,0
1/12/2021,Kentucky,308729
6/15/2020,Louisiana,47172
12/15/2020,Georgia,553995
9/1/2020,Mississippi,83584
7/26/2020,Illinois,172666
10/8/2020,Virginia,156649
3/29/2020,Wyoming,87
11/14/2020,Florida,862990
8/6/2020,Illinois,189705
1/11/2021,Nevada,250249
3/18/2020,Texas,83
4/16/2020,North Dakota,393
11/13/2020,Mississippi,133340
4/13/2020,Arkansas,1410
7/30/2020,Connecticut,49670
12/20/2020,Arkansas,201650
5/23/2020,Alabama,14388
6/20/2020,Arizona,49798
2/12/2020,South Carolina,0
11/19/2020,Michigan,311041
7/4/2020,Colorado,33866
11/7/2020,Pennsylvania,227985
9/19/2020,New Mexico,27512
1/7/2021,New York,614792
2/5/2020,Texas,0
6/9/2020,,209716
8/16/2020,,0
9/6/2020,Nebraska,35886
11/13/2020,,1
8/11/2020,Louisiana,133125
